state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
GA,1000,8,1000,,,22000,7000,,,1000,,,,4000
GA,1000,9,2000,,,26000,3000,,,1000,1000,1000,,1000
GA,1000,10,,,,28000,3000,,,,,,,4000
GA,1000,11,,,,26000,5000,,,,,,,4000
GA,1000,12,,,,27000,3000,,,,,,,5000
GA,1000,13,2000,,,19000,7000,,,,,3000,,4000
GA,1000,14,2000,,,20000,5000,,,1000,2000,,,5000
GA,1000,15,1000,,,24000,7000,,,,,,,3000
GA,1000,16,,,,26000,5000,,,,1000,,,3000
GA,1000,17,,,,20000,8000,,,,1000,2000,,4000
GA,1000,18,,,,28000,4000,,,,1000,,,2000
GA,1000,19,1000,,,23000,7000,,,,1000,,,3000
GA,1000,20,1000,,,22000,6000,,,,1000,1000,,4000
IL,1,0,5648,,,928,4222,,,961,4164,6331,,7806
IL,100,1,5600,,,1900,4900,,,1100,3500,6400,,6700
IL,100,2,5900,,,1000,4100,,,1400,4800,6200,,6700
IL,100,3,5400,,,900,4900,,,1100,3900,6600,,7300
IL,100,4,5800,,,600,5200,,,500,4200,7200,,6600
IL,100,5,5700,,,700,3400,,,1100,5200,6800,,7200
IL,100,6,4900,,,1100,3500,,,800,4100,7000,,8700
IL,100,7,5900,,,1300,4100,,,1000,4100,6400,,7300
IL,100,8,6200,,,1100,4000,,,1200,3700,6500,,7400
IL,100,9,5500,,,1000,4100,,,1500,4600,6300,,7100
IL,100,10,5400,,,1100,5100,,,1000,4200,6700,,6600
IL,100,11,5600,,,700,5000,,,900,4200,6900,,6800
IL,100,12,6500,,,700,3200,,,1000,2900,5600,,10200
IL,100,13,5500,,,1000,4200,,,1200,3000,7100,,8100
IL,100,14,5000,,,900,4500,,,1000,4700,6000,,8000
IL,100,15,5600,,,700,4000,,,1000,5200,7100,,6500
IL,100,16,5300,,,1200,5300,,,1000,3000,6700,,7600
IL,100,17,4200,,,1100,5500,,,800,4300,6000,,8200
IL,100,18,3700,,,600,5800,,,1800,5100,5100,,8000
IL,100,19,6400,,,1200,3800,,,1200,3800,5900,,7800
IL,100,20,4600,,,1200,5000,,,800,3800,7600,,7100
IL,200,1,6800,,,400,4600,,,1400,4200,5400,,7200
IL,200,2,5800,,,800,4800,,,800,3600,6000,,8200
IL,200,3,5800,,,400,5800,,,400,4200,7000,,6400
IL,200,4,5200,,,1000,4200,,,1400,5400,5800,,7000
IL,200,5,7400,,,600,2800,,,1200,3800,7200,,7000
IL,200,6,5200,,,800,4000,,,1400,4800,5600,,8200
IL,200,7,5600,,,1200,4000,,,800,4400,6400,,7600
